# Product Backlog. Tab-separated, one card per row. Read by 03-seed.sh.
# Columns: id | type | sprint | owner | points | priority | epic | title | stories | files | branch | acceptance | notes | blocks
# Multi-value cells (stories, files, acceptance, blocks) use ';' as the separator. '-' means empty.
# 'notes' is free prose shown as the ## Notes section of the issue. 'blocks' non-empty marks the card a blocker.
# Lines starting with # are ignored. Do not use tabs inside a cell.
id	type	sprint	owner	points	priority	epic	title	stories	files	branch	acceptance	notes	blocks
A-05	story	2	Majid	2	Must	Accounts	React auth context, Login and Register screens, API client with token interceptor	US-1.1;US-1.2	frontend/src/context/AuthContext.jsx;frontend/src/components/auth/Login.jsx;frontend/src/components/auth/Register.jsx;frontend/src/services/api.js	feat/us-1-2-auth-ui	Register then log in then reload keeps the session;an expired access token is refreshed transparently and the request retried;the logged-in user object carries an id	Already written, but AuthContext.login never fetches the user, so user is just {isAuthenticated, username} with no id - which is why Chat.jsx sends user_id: undefined and the consumer silently skips persisting the message. Fetching the user after login is the real work here. P-06 fixes the import path and the double-prefixed login URL first.	-
A-06	story	2	Majid	2	Must	Groups	Group model, serializer, and create/list/detail API; creator becomes admin	US-5.1	backend/groups_app/models.py;backend/groups_app/serializers.py;backend/groups_app/views.py;backend/groups_app/urls.py	feat/us-5-1-group-api	The creator is the admin;listing returns only the caller's groups;a non-member cannot read a group's detail	US-5.1: 'As a user, I want to be able to create a group, so that I can communicate with people without dealing with the complexity of channels.' Already written as Group plus GroupListCreateView and GroupDetailView. This card moves it into groups_app behind P-04 and brings it to the DoD.	-
A-07	story	2	Majid	2	Must	Media	MediaFile model and upload endpoint with size and MIME-type validation; attach media to a message	US-2.4;US-7.1	backend/media_app/models.py;backend/media_app/serializers.py;backend/media_app/views.py	feat/us-2-4-media-upload	An oversized file is rejected with a clear error;a disallowed type is rejected;the stored record captures type and size;the type recorded matches the file, not just the request header	US-7.1 send images, video, audio or files in any direct or group message; US-2.4 attach them to a text message. Already written, with two defects to fix: MediaFileSerializer is defined twice in serializers.py (the second wins), and MediaUploadView.perform_create overwrites file_type with the HTTP content type, which defeats the model's own categorisation into image/video/audio/document.	-
A-08	story	2	Majid	2	Must	Media	Media detail and serving endpoint, access-scoped to the conversation the media belongs to	US-7.1;US-7.2	backend/media_app/views.py;backend/media_app/urls.py;nginx/nginx.conf	feat/us-7-1-media-serve	Requesting media from a conversation you are not a member of returns 403 - not the file;a direct URL guess does not bypass the check;media renders inline in the chat view	US-7.2 is the channel-side version of US-7.1. The trap here is serving media as plain static files, which makes every upload world-readable to anyone who can guess a path - the access check has to be in front of the file. Depends on P-02 for the nginx location.	-
A-09	chore	2	Majid	1	Must	Process	Seed command producing users, conversations, groups, channels and sample media for testing	-	backend/common/management/commands/seed_data.py	chore/a-09-seed-data	One command on an empty database produces enough data to demo every story;it is idempotent or clearly refuses to run twice;the credentials it creates are printed	seed_data already exists and makes three users and one group. Extend it to cover channels, topics, roles and media so the Review demo and INT-2's permission matrix have something to run against. Every clean-clone verification card depends on this working.	-
A-10	story	2	Majid	2	Must	Media	Per-channel media restriction: uploading in a channel requires can_send_media, evaluated by the roles module	US-7.3;US-4.8;US-7.2	backend/media_app/views.py;backend/roles/services.py;backend/channels_app/models.py	feat/us-7-3-media-restriction	With the restriction on, a member lacking can_send_media is refused by the API, not merely by a hidden button;the channel admin is never refused;DMs and groups are unaffected	US-7.3: 'As a channel admin, I want to be able to restrict the ability to send media in my channel, so that I have greater control over the channel's content.' US-4.8 is the member-side half. The check must call roles.services.has_permission - if media_app decides this for itself, architecture.tex section 5.1 is broken and the report cannot honestly claim alignment.	-
M-05	story	2	Majid	2	Must	Groups	Group edit and delete, add and remove members honouring allow_invites, group-admin rights	US-5.2;US-6.3;US-6.4;SH.1;SH.2	backend/groups_app/views.py;backend/groups_app/serializers.py;backend/groups_app/urls.py	feat/us-5-2-group-management	Adding a user whose allow_invites is off returns 403 and the user is not added;only the group admin may add, remove or delete;editing group name, image and description works	US-5.2 group admin adds and removes members; US-6.3 delete the group; US-6.4 edit its information. user_stories_en.tex is explicit that the only difference between a group admin and a member is adding, removing and deleting others' messages - so do not invent a role system for groups; that is what channels are for. GroupAddRemoveMemberView exists but never checks allow_invites, which is the actual gap.	-
F-03	story	2	Amir	3	Must	Messaging	Wire DirectMessages.jsx to the message API - real conversations, no mock data	US-2.1;US-2.5	frontend/src/components/dms/DirectMessages.jsx;frontend/src/services/api.js	feat/us-2-5-dm-integration	Two accounts in two browsers can exchange messages;a page refresh shows the full history;sending with an expired token refreshes and retries rather than silently failing	US-2.1 and US-2.5 in the UI. Builds on Ali's U-03 layout and the F-00 primitives, reading M-02. This is the card the Sprint 1 Review demo hinges on, so if anything slips, protect this one.	-
F-04	story	2	Amir	2	Must	Channels	Channels dashboard wired to the channel API: list, create, open	US-4.1	frontend/src/components/channels/ChannelsDashboard.jsx	feat/us-4-1-channels-ui	Creating a channel makes you its admin and it appears in the list;the list shows only channels you belong to;opening one navigates to its topics	US-4.1 in the UI. ChannelsDashboard.jsx exists as a static mockup with an empty useState. Depends on C-02.	-
F-05	story	2	Amir	3	Must	Channels	Topic tabs and the channel message view, reusing the chat component	US-2.3;US-4.5	frontend/src/components/channels/;frontend/src/components/chat/Chat.jsx	feat/us-2-3-channel-chat	Switching topics switches the message list;the create-topic control is hidden without can_create_topic and the API refuses it anyway;the same message bubble component as the DM view is used	US-2.3 send and receive in a channel's topics; US-4.5 create topics. Depends on C-03 and on F-00 - the point of the primitives is that this card is wiring, not a third chat implementation.	-
U-09	story	2	Amir	2	Must	Groups	Group chat view	US-2.2	frontend/src/components/groups/GroupChat.jsx;frontend/src/components/chat/Chat.jsx	feat/us-2-2-group-chat	Every group member can post and see each other's messages;the member list is visible;it renders through the same primitives as the DM and channel views	US-2.2: 'As a member of a group, I want to be able to send and receive messages in the group, so that I can have continuous communication.' Moved to Amir because it is the third instance of the same chat surface and reuses F-00.	-
F-07	story	2	Amir	3	Nice	Real-time	WebSocket client with reconnect; live message rendering in all three contexts	US-B1.1	frontend/src/services/socket.js;frontend/src/components/chat/Chat.jsx	feat/us-b1-1-live-client	A message sent in one browser appears in the other with no refresh;dropping the connection reconnects without duplicating messages;the socket carries the auth token	US-B1.1. Behind the Aug 11 gate. Chat.jsx already opens a raw WebSocket; the work is a single reusable client with reconnect and de-duplication, reading RT-02.	-
U-04	story	2	Ali	2	Must	Accounts	Account and privacy settings screens wired to the profile and privacy endpoints	US-10.1;US-5.4	frontend/src/components/settings/MyAccount.jsx;frontend/src/components/settings/PrivacySettings.jsx;frontend/src/components/settings/GroupInvitationPreferences.jsx	feat/u-04-settings	Editing the profile persists and survives a reload;toggling allow_invites persists;a validation error from the API is shown, not swallowed	US-10.1 edit your profile; US-5.4 control who can add you to a group or channel. All three screens exist as static mockups. Wire them to A-02 and A-03.	-
U-06	story	2	Ali	1	Must	Accounts	View-profile screen for another user	US-10.2	frontend/src/components/profile/ViewProfile.jsx;frontend/src/components/profile/EditProfile.jsx	feat/us-10-2-profile-ui	Opening another user shows their display fields only;your own profile shows the edit affordance and theirs does not;a missing user shows a not-found state	US-10.2: 'As a user, I want to be able to view other users' profiles, so that I can better identify my contacts in the system.' ViewProfile.jsx is a static mockup; EditProfile.jsx is already wired correctly and is the one component importing services/api.js properly. Reads M-03.	-
U-07	story	2	Ali	2	Must	Groups	Groups dashboard wired to the group API	US-5.1	frontend/src/components/groups/GroupsDashboard.jsx	feat/us-5-1-groups-ui	The list shows only groups you belong to;opening one navigates to its chat;an empty state is handled	US-5.1 in the UI. GroupsDashboard.jsx exists as a static mockup with local useState. Reads A-06.	-
U-08	story	2	Ali	1	Must	Groups	Create-group modal wired to the create endpoint	US-5.1	frontend/src/components/groups/CreateGroupModal.jsx	feat/us-5-1-create-group-ui	Creating a group makes you its admin and it appears in the list without a reload;a duplicate or invalid name shows the API's error;cancel discards	Already built as a mockup. Reads A-06.	-
U-11	story	2	Ali	2	Must	Notifications	Notifications centre wired to the API, with an unread count	US-11.1	frontend/src/components/notifications/NotificationsCenter.jsx	feat/us-11-1-notifications-ui	The three event kinds from US-11.1 all appear;the unread badge matches the API;opening a notification marks it read and navigates to its subject	US-11.1 covers a new message, being added to a group or channel, and a role change. NotificationsCenter.jsx exists as a static mockup with an empty array. Reads N-02.	-
U-13	chore	2	Ali	2	Must	Platform	Responsive and empty-state pass across the screens, plus a frontend defect sweep	-	frontend/src/	fix/u-13-ui-polish	No screen breaks below 400px wide;every list has an empty state;every screen in the demo script is walked once against its acceptance criteria and any failure is filed as a bug issue	This absorbs the separate frontend defect pass that used to be its own card. Do it on Aug 11-12, after the features have landed, and file bugs rather than fixing them silently so INT-3 can triage them.	-
U-12	story	2	Ali	3	Nice	Scheduling	Scheduled-message composer: pick a date and time, see pending scheduled messages, cancel one	US-B2.1	frontend/src/components/chat/ScheduleMessage.jsx	feat/us-b2-1-schedule-ui	A time in the past is refused in the UI as well as by the API;pending messages are listed with their delivery time;cancelling removes it before it sends	US-B2.1. Behind the Aug 11 gate. Reads SC-02.	-
F-08	story	2	Amir	2	Won't	Real-time	Live notification delivery in the UI	US-B1.2	frontend/src/components/notifications/NotificationsCenter.jsx	feat/us-b1-2-live-notif-ui	-	Cut for this release. US-B1.2 is the lowest-value half of the lowest-value bonus, and polling the N-02 endpoint gives the user almost the same thing. Parked and visible rather than quietly dropped, per methodology.md section 7.5.	-
RT-03	story	2	Arman	3	Won't	Real-time	Push notifications over the same socket	US-B1.2	backend/realtime/consumers.py;backend/notifications/services.py	feat/us-b1-2-live-notifications	-	Cut for this release, together with its UI half F-08. If RT-02 lands early and the mandatory product is green, this is the first card to bring back.	-
U-10	story	2	Ali	2	Won't	Groups	Group member management and group info editing UI	US-5.2;US-6.4	frontend/src/components/groups/GroupSettings.jsx	feat/us-5-2-group-members-ui	-	Cut for this release. M-05 delivers US-5.2 and US-6.4 server-side and they can be demonstrated against the API; a dedicated settings screen is the presentation of a requirement that is already met. Reinstate it if Sprint 2 runs ahead.	-
